_id,METER_CODE,FOLIO_NUMBER,GROSS_UNACCOUNTED
663d31c3d9a15983eb2c36ca,MTR_301,12/06/2022,4
663d31c3d9a15983eb2c36cb,MTR_301,12/07/2022,3
663d31c3d9a15983eb2c36cc,MTR_301,12/08/2022,5
663d31c3d9a15983eb2c36cd,MTR_301,12/09/2022,-1
663d31c3d9a15983eb2c36ce,MTR_301,12/10/2022,-1
663d31c3d9a15983eb2c36cf,MTR_301,12/12/2022,4
663d31c3d9a15983eb2c36d0,MTR_301,12/13/2022,0
663d31c3d9a15983eb2c36d1,MTR_301,12/14/2022,-2
663d31c3d9a15983eb2c36d2,MTR_301,12/15/2022,-1
663d31c3d9a15983eb2c36d3,MTR_301,12/16/2022,4
663d31c3d9a15983eb2c36d4,MTR_301,12/17/2022,-4
663d31c3d9a15983eb2c36d5,MTR_301,12/18/2022,0
663d31c3d9a15983eb2c36d6,MTR_301,12/19/2022,-3
663d31c3d9a15983eb2c36d7,MTR_301,12/20/2022,-2
663d31c3d9a15983eb2c36d8,MTR_301,12/21/2022,1
663d31c3d9a15983eb2c36d9,MTR_301,12/22/2022,4
663d31c3d9a15983eb2c36da,MTR_301,12/23/2022,3
663d31c3d9a15983eb2c36db,MTR_301,12/24/2022,-2
663d31c3d9a15983eb2c36dc,MTR_301,12/26/2022,4
663d31c3d9a15983eb2c36dd,MTR_301,12/27/2022,0
663d31c3d9a15983eb2c36de,MTR_301,12/28/2022,-3
663d31c3d9a15983eb2c36df,MTR_301,12/29/2022,0
663d31c3d9a15983eb2c36e0,MTR_301,12/30/2022,-2
663d31c3d9a15983eb2c36e1,MTR_301,12/31/2022,1
663d31c3d9a15983eb2c36e2,MTR_301,01/01/2023,2
663d31c3d9a15983eb2c36e3,MTR_301,01/02/2023,1
663d31c3d9a15983eb2c36e4,MTR_301,01/03/2023,9990
663d31c3d9a15983eb2c36e5,MTR_301,01/04/2023,1
663d31c3d9a15983eb2c36e6,MTR_301,01/05/2023,4
663d31c3d9a15983eb2c36e7,MTR_301,01/06/2023,4
663d31c3d9a15983eb2c36e8,MTR_301,01/07/2023,4
663d31c3d9a15983eb2c36e9,MTR_301,01/08/2023,0
663d31c3d9a15983eb2c36ea,MTR_301,01/09/2023,2
663d31c3d9a15983eb2c36eb,MTR_301,01/10/2023,1
663d31c3d9a15983eb2c36ec,MTR_301,01/11/2023,1
663d31c3d9a15983eb2c36ed,MTR_301,01/12/2023,-1
663d31c3d9a15983eb2c36ee,MTR_301,01/13/2023,1
663d31c3d9a15983eb2c36ef,MTR_301,01/14/2023,0
663d31c3d9a15983eb2c36f0,MTR_301,01/15/2023,0
663d31c3d9a15983eb2c36f1,MTR_301,01/16/2023,5
663d31c3d9a15983eb2c36f2,MTR_301,01/17/2023,-2
663d31c3d9a15983eb2c36f3,MTR_301,01/18/2023,-1
663d31c3d9a15983eb2c36f4,MTR_301,01/19/2023,1
663d31c3d9a15983eb2c36f5,MTR_301,01/20/2023,4
663d31c3d9a15983eb2c36f6,MTR_301,01/21/2023,4
663d31c3d9a15983eb2c36f7,MTR_301,01/23/2023,4
663d31c3d9a15983eb2c36f8,MTR_301,01/24/2023,1
663d31c3d9a15983eb2c36f9,MTR_301,01/25/2023,1
663d31c3d9a15983eb2c36fa,MTR_301,01/26/2023,2
663d31c3d9a15983eb2c36fb,MTR_301,01/27/2023,3
663d31c3d9a15983eb2c36fc,MTR_301,01/28/2023,1
663d31c3d9a15983eb2c36fd,MTR_301,01/30/2023,4
663d31c3d9a15983eb2c36fe,MTR_301,01/31/2023,4
663d31c3d9a15983eb2c36ff,MTR_301,02/01/2023,0
663d31c3d9a15983eb2c3700,MTR_301,02/02/2023,-3
663d31c3d9a15983eb2c3701,MTR_301,02/03/2023,2
663d31c3d9a15983eb2c3702,MTR_301,02/04/2023,2
663d31c3d9a15983eb2c3703,MTR_301,02/06/2023,1
663d31c3d9a15983eb2c3704,MTR_301,02/07/2023,2
663d31c3d9a15983eb2c3705,MTR_301,02/08/2023,-1
663d31c3d9a15983eb2c3706,MTR_301,02/09/2023,1
663d31c3d9a15983eb2c3707,MTR_301,02/10/2023,2
663d31c3d9a15983eb2c3708,MTR_301,02/11/2023,0
663d31c3d9a15983eb2c3709,MTR_301,02/13/2023,-1
663d31c3d9a15983eb2c370a,MTR_301,02/14/2023,2
663d31c3d9a15983eb2c370b,MTR_301,02/15/2023,2
663d31c3d9a15983eb2c370c,MTR_301,02/16/2023,0
663d31c3d9a15983eb2c370d,MTR_301,02/17/2023,8
663d31c3d9a15983eb2c370e,MTR_301,02/18/2023,3
663d31c3d9a15983eb2c370f,MTR_301,02/20/2023,0
663d31c3d9a15983eb2c3710,MTR_301,02/21/2023,-1
663d31c3d9a15983eb2c3711,MTR_301,02/22/2023,4
663d31c3d9a15983eb2c3712,MTR_301,02/23/2023,1
663d31c3d9a15983eb2c3713,MTR_301,02/24/2023,1
663d31c3d9a15983eb2c3714,MTR_301,02/25/2023,-2
663d31c3d9a15983eb2c3715,MTR_301,02/26/2023,0
663d31c3d9a15983eb2c3716,MTR_301,02/27/2023,0
663d31c3d9a15983eb2c3717,MTR_301,02/28/2023,1
663d31c3d9a15983eb2c3718,MTR_301,03/01/2023,0
663d31c3d9a15983eb2c3719,MTR_301,03/02/2023,3
663d31c3d9a15983eb2c371a,MTR_301,03/03/2023,2
663d31c3d9a15983eb2c371b,MTR_301,03/04/2023,3
663d31c3d9a15983eb2c371c,MTR_301,03/06/2023,0
663d31c3d9a15983eb2c371d,MTR_301,03/07/2023,0
663d31c3d9a15983eb2c371e,MTR_301,03/08/2023,1
663d31c3d9a15983eb2c371f,MTR_301,03/09/2023,-1
663d31c3d9a15983eb2c3720,MTR_301,03/10/2023,0
663d31c3d9a15983eb2c3721,MTR_301,03/11/2023,7
663d31c3d9a15983eb2c3722,MTR_301,03/13/2023,-1
663d31c3d9a15983eb2c3723,MTR_301,03/14/2023,2
663d31c3d9a15983eb2c3724,MTR_301,03/15/2023,2
663d31c3d9a15983eb2c3725,MTR_301,03/16/2023,2
663d31c3d9a15983eb2c3726,MTR_301,03/17/2023,4
663d31c3d9a15983eb2c3727,MTR_301,03/18/2023,0
663d31c3d9a15983eb2c3728,MTR_301,03/20/2023,0
663d31c3d9a15983eb2c3729,MTR_301,03/23/2023,0
663d31c3d9a15983eb2c372a,MTR_301,03/24/2023,7
663d31c3d9a15983eb2c372b,MTR_301,03/25/2023,2
663d31c3d9a15983eb2c372c,MTR_301,03/27/2023,2
663d31c3d9a15983eb2c372d,MTR_301,03/28/2023,-2
663d31c3d9a15983eb2c372e,MTR_301,03/29/2023,0
663d31c3d9a15983eb2c372f,MTR_301,03/30/2023,-1
663d31c3d9a15983eb2c3730,MTR_301,03/31/2023,2
663d31c3d9a15983eb2c3731,MTR_301,04/01/2023,6
663d31c3d9a15983eb2c3732,MTR_301,04/03/2023,2
663d31c3d9a15983eb2c3733,MTR_301,04/04/2023,4
663d31c3d9a15983eb2c3734,MTR_301,04/05/2023,0
663d31c3d9a15983eb2c3735,MTR_301,04/06/2023,2
