_id,FOLIO_NUMBER,CUSTOMER_NUMBER,TERMINAL_PRODUCT_NUMBER,ORDERED_QUANTITY
6638b176bd5ca0cb694ddde5,2023-06-09T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694ddde6,2023-06-09T00:00:00.000Z,3,4,358000
6638b176bd5ca0cb694ddde7,2023-06-09T00:00:00.000Z,3,7,1681000
6638b176bd5ca0cb694ddde8,2023-06-09T00:00:00.000Z,3,8,167310
6638b176bd5ca0cb694ddde9,2023-06-09T00:00:00.000Z,3,9,27200
6638b176bd5ca0cb694dddea,2023-06-09T00:00:00.000Z,3,10,45000
6638b176bd5ca0cb694dddeb,2023-06-09T00:00:00.000Z,3,11,8100
6638b176bd5ca0cb694dddec,2023-06-09T00:00:00.000Z,5,4,31000
6638b176bd5ca0cb694ddded,2023-06-09T00:00:00.000Z,5,7,264000
6638b176bd5ca0cb694dddee,2023-06-09T00:00:00.000Z,5,10,66000
6638b176bd5ca0cb694dddef,2023-06-09T00:00:00.000Z,5,13,4650
6638b176bd5ca0cb694dddf0,2023-06-09T00:00:00.000Z,8,4,21000
6638b176bd5ca0cb694dddf1,2023-06-09T00:00:00.000Z,8,7,187000
6638b176bd5ca0cb694dddf2,2023-06-09T00:00:00.000Z,8,10,17050
6638b176bd5ca0cb694dddf3,2023-06-09T00:00:00.000Z,8,11,6300
6638b176bd5ca0cb694dddf4,2023-06-09T00:00:00.000Z,9,4,7000
6638b176bd5ca0cb694dddf5,2023-06-09T00:00:00.000Z,9,7,297000
6638b176bd5ca0cb694dddf6,2023-06-09T00:00:00.000Z,12,4,68000
6638b176bd5ca0cb694dddf7,2023-06-09T00:00:00.000Z,12,7,281000
6638b176bd5ca0cb694dddf8,2023-06-09T00:00:00.000Z,14,4,13000
6638b176bd5ca0cb694dddf9,2023-06-09T00:00:00.000Z,14,7,194000
6638b176bd5ca0cb694dddfa,2023-06-09T00:00:00.000Z,15,7,80000
6638b176bd5ca0cb694dddfb,2023-06-09T00:00:00.000Z,19,4,29000
6638b176bd5ca0cb694dddfc,2023-06-09T00:00:00.000Z,19,7,150000
6638b176bd5ca0cb694dddfd,2023-06-10T00:00:00.000Z,2,4,21000
6638b176bd5ca0cb694dddfe,2023-06-10T00:00:00.000Z,2,7,344000
6638b176bd5ca0cb694dddff,2023-06-10T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694dde00,2023-06-10T00:00:00.000Z,3,4,157000
6638b176bd5ca0cb694dde01,2023-06-10T00:00:00.000Z,3,7,1913000
6638b176bd5ca0cb694dde02,2023-06-10T00:00:00.000Z,3,8,148320
6638b176bd5ca0cb694dde03,2023-06-10T00:00:00.000Z,3,9,14300
6638b176bd5ca0cb694dde04,2023-06-10T00:00:00.000Z,3,10,44550
6638b176bd5ca0cb694dde05,2023-06-10T00:00:00.000Z,3,11,4200
6638b176bd5ca0cb694dde06,2023-06-10T00:00:00.000Z,5,4,10000
6638b176bd5ca0cb694dde07,2023-06-10T00:00:00.000Z,5,7,151000
6638b176bd5ca0cb694dde08,2023-06-10T00:00:00.000Z,5,10,14000
6638b176bd5ca0cb694dde09,2023-06-10T00:00:00.000Z,5,13,1500
6638b176bd5ca0cb694dde0a,2023-06-10T00:00:00.000Z,8,4,22000
6638b176bd5ca0cb694dde0b,2023-06-10T00:00:00.000Z,8,7,229000
6638b176bd5ca0cb694dde0c,2023-06-10T00:00:00.000Z,8,10,23350
6638b176bd5ca0cb694dde0d,2023-06-10T00:00:00.000Z,8,11,6600
6638b176bd5ca0cb694dde0e,2023-06-10T00:00:00.000Z,9,4,11000
6638b176bd5ca0cb694dde0f,2023-06-10T00:00:00.000Z,9,7,139000
6638b176bd5ca0cb694dde10,2023-06-10T00:00:00.000Z,12,4,18000
6638b176bd5ca0cb694dde11,2023-06-10T00:00:00.000Z,12,7,79000
6638b176bd5ca0cb694dde12,2023-06-10T00:00:00.000Z,14,4,2000
6638b176bd5ca0cb694dde13,2023-06-10T00:00:00.000Z,14,7,35000
6638b176bd5ca0cb694dde14,2023-06-10T00:00:00.000Z,15,7,33000
6638b176bd5ca0cb694dde15,2023-06-11T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694dde16,2023-06-11T00:00:00.000Z,3,4,98300
6638b176bd5ca0cb694dde17,2023-06-11T00:00:00.000Z,7,4,33000
6638b176bd5ca0cb694dde18,2023-06-11T00:00:00.000Z,7,7,66000
6638b176bd5ca0cb694dde19,2023-06-11T00:00:00.000Z,13,4,6000
6638b176bd5ca0cb694dde1a,2023-06-11T00:00:00.000Z,13,7,27000
6638b176bd5ca0cb694dde1b,2023-06-12T00:00:00.000Z,2,4,46000
6638b176bd5ca0cb694dde1c,2023-06-12T00:00:00.000Z,2,7,414100
6638b176bd5ca0cb694dde1d,2023-06-12T00:00:00.000Z,3,4,319200
6638b176bd5ca0cb694dde1e,2023-06-12T00:00:00.000Z,3,7,1912000
6638b176bd5ca0cb694dde1f,2023-06-12T00:00:00.000Z,3,8,132090
6638b176bd5ca0cb694dde20,2023-06-12T00:00:00.000Z,3,9,14100
6638b176bd5ca0cb694dde21,2023-06-12T00:00:00.000Z,3,10,56650
6638b176bd5ca0cb694dde22,2023-06-12T00:00:00.000Z,3,11,7500
6638b176bd5ca0cb694dde23,2023-06-12T00:00:00.000Z,5,4,16000
6638b176bd5ca0cb694dde24,2023-06-12T00:00:00.000Z,5,7,197000
6638b176bd5ca0cb694dde25,2023-06-12T00:00:00.000Z,5,10,49250
6638b176bd5ca0cb694dde26,2023-06-12T00:00:00.000Z,5,13,2400
6638b176bd5ca0cb694dde27,2023-06-12T00:00:00.000Z,7,4,18000
6638b176bd5ca0cb694dde28,2023-06-12T00:00:00.000Z,7,7,33000
6638b176bd5ca0cb694dde29,2023-06-12T00:00:00.000Z,8,7,131000
6638b176bd5ca0cb694dde2a,2023-06-12T00:00:00.000Z,8,10,13100
6638b176bd5ca0cb694dde2b,2023-06-12T00:00:00.000Z,12,4,45000
6638b176bd5ca0cb694dde2c,2023-06-12T00:00:00.000Z,12,7,222000
6638b176bd5ca0cb694dde2d,2023-06-12T00:00:00.000Z,14,7,122000
6638b176bd5ca0cb694dde2e,2023-06-12T00:00:00.000Z,15,4,9000
6638b176bd5ca0cb694dde2f,2023-06-12T00:00:00.000Z,15,7,178000
6638b176bd5ca0cb694dde30,2023-06-12T00:00:00.000Z,19,4,44000
6638b176bd5ca0cb694dde31,2023-06-12T00:00:00.000Z,19,7,171000
6638b176bd5ca0cb694dde32,2023-06-13T00:00:00.000Z,2,4,11000
6638b176bd5ca0cb694dde33,2023-06-13T00:00:00.000Z,2,7,385000
6638b176bd5ca0cb694dde34,2023-06-13T00:00:00.000Z,3,4,218100
6638b176bd5ca0cb694dde35,2023-06-13T00:00:00.000Z,3,7,940000
6638b176bd5ca0cb694dde36,2023-06-13T00:00:00.000Z,3,8,78040
6638b176bd5ca0cb694dde37,2023-06-13T00:00:00.000Z,3,9,11700
6638b176bd5ca0cb694dde38,2023-06-13T00:00:00.000Z,3,10,16300
6638b176bd5ca0cb694dde39,2023-06-13T00:00:00.000Z,5,4,12000
6638b176bd5ca0cb694dde3a,2023-06-13T00:00:00.000Z,5,7,251000
6638b176bd5ca0cb694dde3b,2023-06-13T00:00:00.000Z,5,10,30000
6638b176bd5ca0cb694dde3c,2023-06-13T00:00:00.000Z,5,13,1800
6638b176bd5ca0cb694dde3d,2023-06-13T00:00:00.000Z,7,4,33000
6638b176bd5ca0cb694dde3e,2023-06-13T00:00:00.000Z,7,7,66000
6638b176bd5ca0cb694dde3f,2023-06-13T00:00:00.000Z,8,4,43000
6638b176bd5ca0cb694dde40,2023-06-13T00:00:00.000Z,8,7,509000
6638b176bd5ca0cb694dde41,2023-06-13T00:00:00.000Z,8,10,55300
6638b176bd5ca0cb694dde42,2023-06-13T00:00:00.000Z,8,11,12900
6638b176bd5ca0cb694dde43,2023-06-13T00:00:00.000Z,9,4,8000
6638b176bd5ca0cb694dde44,2023-06-13T00:00:00.000Z,9,7,82000
6638b176bd5ca0cb694dde45,2023-06-13T00:00:00.000Z,12,4,47000
6638b176bd5ca0cb694dde46,2023-06-13T00:00:00.000Z,12,7,315200
6638b176bd5ca0cb694dde47,2023-06-13T00:00:00.000Z,14,4,5000
6638b176bd5ca0cb694dde48,2023-06-13T00:00:00.000Z,14,7,42000
6638b176bd5ca0cb694dde49,2023-06-13T00:00:00.000Z,15,4,1000
6638b176bd5ca0cb694dde4a,2023-06-13T00:00:00.000Z,15,7,46000
6638b176bd5ca0cb694dde4b,2023-06-14T00:00:00.000Z,2,4,14000
6638b176bd5ca0cb694dde4c,2023-06-14T00:00:00.000Z,2,7,545856
6638b176bd5ca0cb694dde4d,2023-06-14T00:00:00.000Z,3,1,0
6638b176bd5ca0cb694dde4e,2023-06-14T00:00:00.000Z,3,4,331200
