_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bde05d8,INJ_208,03/30/2022,1
6638d02b36388c250bde05d9,INJ_208,04/01/2022,0
6638d02b36388c250bde05da,INJ_208,04/02/2022,0
6638d02b36388c250bde05db,INJ_208,04/07/2022,0
6638d02b36388c250bde05dc,INJ_208,04/13/2022,0
6638d02b36388c250bde05dd,INJ_208,04/14/2022,0
6638d02b36388c250bde05de,INJ_208,04/18/2022,1
6638d02b36388c250bde05df,INJ_208,04/21/2022,-1
6638d02b36388c250bde05e0,INJ_208,04/24/2022,27
6638d02b36388c250bde05e1,INJ_208,04/25/2022,0
6638d02b36388c250bde05e2,INJ_208,04/27/2022,0
6638d02b36388c250bde05e3,INJ_208,04/29/2022,1
6638d02b36388c250bde05e4,INJ_208,05/05/2022,0
6638d02b36388c250bde05e5,INJ_208,05/09/2022,-1
6638d02b36388c250bde05e6,INJ_208,05/13/2022,1
6638d02b36388c250bde05e7,INJ_208,05/14/2022,0
6638d02b36388c250bde05e8,INJ_208,05/17/2022,0
6638d02b36388c250bde05e9,INJ_208,05/18/2022,0
6638d02b36388c250bde05ea,INJ_208,05/19/2022,0
6638d02b36388c250bde05eb,INJ_208,05/20/2022,0
6638d02b36388c250bde05ec,INJ_208,05/23/2022,0
6638d02b36388c250bde05ed,INJ_208,05/25/2022,0
6638d02b36388c250bde05ee,INJ_208,05/26/2022,0
6638d02b36388c250bde05ef,INJ_208,05/30/2022,0
6638d02b36388c250bde05f0,INJ_208,06/01/2022,0
6638d02b36388c250bde05f1,INJ_208,06/02/2022,0
6638d02b36388c250bde05f2,INJ_208,06/03/2022,12
6638d02b36388c250bde05f3,INJ_208,06/04/2022,0
6638d02b36388c250bde05f4,INJ_208,06/06/2022,0
6638d02b36388c250bde05f5,INJ_208,06/07/2022,0
6638d02b36388c250bde05f6,INJ_208,06/08/2022,19
6638d02b36388c250bde05f7,INJ_208,06/10/2022,-1
6638d02b36388c250bde05f8,INJ_208,06/11/2022,0
6638d02b36388c250bde05f9,INJ_208,06/13/2022,0
6638d02b36388c250bde05fa,INJ_208,06/17/2022,-1
6638d02b36388c250bde05fb,INJ_208,06/18/2022,-1
6638d02b36388c250bde05fc,INJ_208,06/20/2022,0
6638d02b36388c250bde05fd,INJ_208,06/22/2022,0
6638d02b36388c250bde05fe,INJ_208,06/25/2022,0
6638d02b36388c250bde05ff,INJ_208,06/27/2022,0
6638d02b36388c250bde0600,INJ_208,06/28/2022,14
6638d02b36388c250bde0601,INJ_208,06/30/2022,0
6638d02b36388c250bde0602,INJ_208,07/01/2022,0
6638d02b36388c250bde0603,INJ_208,07/02/2022,0
6638d02b36388c250bde0604,INJ_208,07/04/2022,0
6638d02b36388c250bde0605,INJ_208,07/05/2022,0
6638d02b36388c250bde0606,INJ_208,07/06/2022,-1
6638d02b36388c250bde0607,INJ_208,07/07/2022,0
6638d02b36388c250bde0608,INJ_208,07/08/2022,0
6638d02b36388c250bde0609,INJ_208,07/14/2022,1
6638d02b36388c250bde060a,INJ_208,07/16/2022,16
6638d02b36388c250bde060b,INJ_208,07/18/2022,17
6638d02b36388c250bde060c,INJ_208,07/20/2022,0
6638d02b36388c250bde060d,INJ_208,07/21/2022,0
6638d02b36388c250bde060e,INJ_208,07/22/2022,0
6638d02b36388c250bde060f,INJ_208,07/23/2022,0
6638d02b36388c250bde0610,INJ_208,07/25/2022,-1
6638d02b36388c250bde0611,INJ_208,07/27/2022,0
6638d02b36388c250bde0612,INJ_208,08/09/2022,0
6638d02b36388c250bde0613,INJ_208,08/12/2022,0
6638d02b36388c250bde0614,INJ_208,08/15/2022,0
6638d02b36388c250bde0615,INJ_208,08/16/2022,0
6638d02b36388c250bde0616,INJ_208,08/17/2022,1
6638d02b36388c250bde0617,INJ_208,08/18/2022,0
6638d02b36388c250bde0618,INJ_208,08/20/2022,-1
6638d02b36388c250bde0619,INJ_208,08/22/2022,1
6638d02b36388c250bde061a,INJ_208,08/23/2022,-1
6638d02b36388c250bde061b,INJ_208,08/25/2022,0
6638d02b36388c250bde061c,INJ_208,08/27/2022,1
6638d02b36388c250bde061d,INJ_208,09/01/2022,-1
6638d02b36388c250bde061e,INJ_208,09/02/2022,0
6638d02b36388c250bde061f,INJ_208,09/03/2022,0
6638d02b36388c250bde0620,INJ_208,09/07/2022,-1
6638d02b36388c250bde0621,INJ_208,09/08/2022,0
6638d02b36388c250bde0622,INJ_208,09/09/2022,0
6638d02b36388c250bde0623,INJ_208,09/14/2022,0
6638d02b36388c250bde0624,INJ_208,09/15/2022,23
6638d02b36388c250bde0625,INJ_208,09/16/2022,17
6638d02b36388c250bde0626,INJ_208,09/17/2022,2
6638d02b36388c250bde0627,INJ_208,09/19/2022,-1
6638d02b36388c250bde0628,INJ_208,09/21/2022,1
6638d02b36388c250bde0629,INJ_208,10/01/2022,1
6638d02b36388c250bde062a,INJ_208,10/04/2022,0
6638d02b36388c250bde062b,INJ_208,10/07/2022,2
6638d02b36388c250bde062c,INJ_208,10/10/2022,0
6638d02b36388c250bde062d,INJ_208,10/11/2022,1
6638d02b36388c250bde062e,INJ_208,10/13/2022,1
6638d02b36388c250bde062f,INJ_208,10/15/2022,0
6638d02b36388c250bde0630,INJ_208,10/17/2022,0
6638d02b36388c250bde0631,INJ_208,10/29/2022,-1
