METER_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,GROSS_UNACCOUNTED,GROSS_THRUPUT,ACTUAL_GROSS_THRUPUT,serka,serka2,serka3
MTR_201,20220603,653100,588855,5,592719,592724,60381,-3864,-3869
MTR_201,20220604,407000,402101,0,404764,404764,2236,-2663,-2663
MTR_201,20220606,550000,520251,8,523718,523726,26282,-3467,-3475
MTR_201,20220607,576000,563935,-1,567708,567707,8292,-3773,-3772
MTR_201,20220608,555000,519261,3,522728,522731,32272,-3467,-3470
MTR_201,20220609,610000,532161,3,535688,535691,74312,-3527,-3530
MTR_201,20220610,576000,536136,3,539687,539690,36313,-3551,-3554
MTR_201,20220611,471000,441818,-3,450730,450727,20270,-8912,-8909
MTR_201,20220613,656000,604644,7,611327,611334,44673,-6683,-6690
MTR_201,20220614,501000,480538,4,496554,496558,4446,-16016,-16020
MTR_201,20220615,715000,651310,-4,680528,680524,34472,-29218,-29214
MTR_201,20220616,461000,375296,-2,379057,379055,81943,-3761,-3759
MTR_201,20220617,431000,414017,0,416784,416784,14216,-2767,-2767
MTR_201,20220618,342643,327285,-1,323792,323791,18851,3493,3494
MTR_201,20220620,386000,362386,3,376446,376449,9554,-14060,-14063
MTR_201,20220621,401100,376388,3485,398297,401782,2803,-21909,-25394
MTR_201,20220622,414100,375394,6745,394965,401710,19135,-19571,-26316
MTR_201,20220623,357100,318799,-3,320745,320742,36355,-1946,-1943
MTR_201,20220624,471100,459788,-5,462752,462747,8348,-2964,-2959
MTR_201,20220625,238300,220511,1,221916,221917,16384,-1405,-1406
MTR_201,20220627,335000,309768,6,311759,311765,23241,-1991,-1997
MTR_201,20220628,595000,557981,5,546633,546638,48367,11348,11343
MTR_201,20220629,641000,620527,-1,608648,608647,32352,11879,11880
MTR_201,20220630,576000,560955,1,564714,564715,11286,-3759,-3760
MTR_201,20220701,618000,582794,3196,550856,554052,67144,31938,28742
MTR_201,20220702,428000,411038,-4,413775,413771,14225,-2737,-2733
MTR_201,20220704,478000,454724,5,457669,457674,20331,-2945,-2950
MTR_201,20220705,580000,548047,-1,534617,534616,45383,13430,13431
MTR_201,20220706,384100,378373,-1,380756,380755,3344,-2383,-2382
MTR_201,20220707,494000,468624,-1,477424,477423,16576,-8800,-8799
MTR_201,20220708,455000,435859,3,438748,438751,16252,-2889,-2892
MTR_201,20220709,308000,297851,3,299825,299828,8175,-1974,-1977
MTR_201,20220711,83000,82406,4,82951,82955,49,-545,-549
