INJECTOR_CODE,FOLIO_NUMBER,ORDERED_QUANTITY,COMMITTED_NET_QUANTITY,UNACCOUNTED,FRAC_UNACCOUNTED,PRODUCT_THRUPUT,serka
INJ_505,20221114,3900,2100,0,0,6992,-4892
INJ_505,20221116,3600,3600,0,0,11996,-8396
INJ_505,20221117,4200,4200,0,1,13989,-9789
INJ_505,20221118,7200,7200,0,0,23986,-16786
INJ_505,20221119,900,900,0,0,2998,-2098
INJ_505,20221121,3000,3000,0,0,9989,-6989
INJ_505,20221122,4200,4200,0,0,13995,-9795
INJ_505,20221124,2100,2100,0,0,6993,-4893
INJ_505,20221125,9300,9300,0,0,30973,-21673
INJ_505,20221126,900,900,0,0,2995,-2095
INJ_505,20221129,1500,1500,0,0,4996,-3496
INJ_505,20221201,900,900,0,1,2996,-2096
INJ_505,20221202,1500,1500,0,0,4997,-3497
INJ_505,20221205,14700,9900,0,0,32965,-23065
INJ_505,20221206,7650,7650,0,0,21984,-14334
INJ_505,20221207,2700,2700,0,1,8993,-6293
INJ_505,20221208,7800,6300,0,0,20983,-14683
INJ_505,20221209,7800,3600,0,0,6674,-3074
INJ_505,20221210,5400,5400,0,0,17986,-12586
INJ_505,20221212,2700,2700,0,0,8991,-6291
INJ_505,20221213,3450,3450,0,1,7991,-4541
INJ_505,20221214,1500,1500,0,1,4996,-3496
INJ_505,20221215,4800,4800,0,0,15989,-11189
INJ_505,20221216,3600,3600,0,0,11989,-8389
INJ_505,20221217,10800,9300,0,0,30980,-21680
INJ_505,20221219,3600,3600,0,1,11988,-8388
INJ_505,20221220,13200,8700,0,0,28976,-20276
INJ_505,20221221,1800,1800,0,0,5993,-4193
INJ_505,20221222,1200,1200,0,0,3996,-2796
INJ_505,20221223,3300,3300,0,0,10994,-7694
INJ_505,20221224,5100,5100,0,0,16988,-11888
INJ_505,20221226,2400,2400,0,0,7992,-5592
INJ_505,20221227,3000,3000,0,0,9994,-6994
INJ_505,20221228,4200,4200,0,1,13989,-9789
INJ_505,20221229,4800,4800,0,1,15986,-11186
INJ_505,20221230,6600,5100,0,0,16981,-11881
INJ_505,20221231,2400,2400,0,0,7991,-5591
INJ_505,20230102,6900,6900,0,1,22985,-16085
INJ_505,20230103,5100,5100,0,0,16984,-11884
INJ_505,20230104,1500,1500,0,0,4997,-3497
INJ_505,20230105,6600,6600,0,0,21978,-15378
INJ_505,20230106,1500,1500,0,-1,4998,-3498
INJ_505,20230107,3600,3600,0,0,11993,-8393
INJ_505,20230109,6600,6600,0,0,21977,-15377
INJ_505,20230110,5850,5850,0,0,15992,-10142
INJ_505,20230111,5700,5700,0,0,18986,-13286
INJ_505,20230112,2700,2700,0,0,8990,-6290
INJ_505,20230113,1200,1200,0,0,3996,-2796
INJ_505,20230114,1500,1500,0,0,4995,-3495
INJ_505,20230116,5700,5700,0,0,18982,-13282
INJ_505,20230118,4800,4800,0,-1,15989,-11189
INJ_505,20230119,2100,2100,0,0,6991,-4891
INJ_505,20230120,5400,3000,0,0,9995,-6995
INJ_505,20230121,1200,1200,0,0,3994,-2794
INJ_505,20230123,5400,5400,0,0,17986,-12586
INJ_505,20230124,1200,1200,0,0,3995,-2795
INJ_505,20230125,3900,3900,0,1,12992,-9092
INJ_505,20230126,9900,9900,0,-1,32980,-23080
INJ_505,20230127,9900,9900,0,0,32977,-23077
INJ_505,20230128,4800,3600,0,0,11994,-8394
INJ_505,20230130,6300,6300,0,0,20985,-14685
INJ_505,20230202,7050,7050,0,-1,19982,-12932
INJ_505,20230203,3600,3600,0,0,11989,-8389
INJ_505,20230204,3900,3900,0,-1,12992,-9092
INJ_505,20230206,2100,2100,0,1,6993,-4893
INJ_505,20230207,5600,5600,0,0,13985,-8385
INJ_505,20230208,2700,2700,0,0,8992,-6292
INJ_505,20230209,2400,2400,0,0,7992,-5592
INJ_505,20230210,2400,2400,0,-1,7993,-5593
INJ_505,20230211,900,900,0,0,2996,-2096
INJ_505,20230213,5100,5100,0,0,16985,-11885
INJ_505,20230214,2100,2100,0,0,6995,-4895
INJ_505,20230215,1500,1500,0,0,4995,-3495
INJ_505,20230216,1200,1200,0,0,3995,-2795
INJ_505,20230217,7200,7200,0,0,23981,-16781
INJ_505,20230218,2400,2400,0,0,7991,-5591
INJ_505,20230220,3600,3600,0,0,11986,-8386
INJ_505,20230221,6300,6300,0,0,20988,-14688
INJ_505,20230222,4800,4800,0,0,15982,-11182
INJ_505,20230223,5700,5700,0,-1,18988,-13288
INJ_505,20230224,2100,2100,0,1,6993,-4893
INJ_505,20230225,3000,3000,0,0,9990,-6990
INJ_505,20230227,900,900,0,-1,2997,-2097
INJ_505,20230228,7800,7800,0,0,25978,-18178
INJ_505,20230301,2700,2700,1,955,8991,-6291
INJ_505,20230302,4800,4800,0,0,15987,-11187
INJ_505,20230303,5400,5400,0,599,17978,-12578
INJ_505,20230304,8400,8400,0,0,27981,-19581
INJ_505,20230306,4800,3600,0,0,11986,-8386
INJ_505,20230307,2700,2700,2,104,8989,-6289
INJ_505,20230308,6600,6600,0,749,21982,-15382
INJ_505,20230309,4500,4500,1,348,14987,-10487
INJ_505,20230310,8400,8400,1,201,27967,-19567
INJ_505,20230311,5400,5400,0,0,17983,-12583
INJ_505,20230314,900,900,0,-1,2995,-2095
INJ_505,20230315,6600,6600,0,453,21982,-15382
INJ_505,20230316,6900,6900,1,202,22983,-16083
INJ_505,20230317,6900,6900,0,452,22979,-16079
INJ_505,20230318,3600,3600,0,902,11991,-8391
INJ_505,20230320,2100,2100,0,601,6996,-4896
INJ_505,20230321,6750,6750,0,1,18979,-12229
INJ_505,20230323,5100,5100,1,501,16980,-11880
INJ_505,20230324,9300,9300,0,602,30982,-21682
INJ_505,20230325,3900,3900,0,0,12988,-9088
INJ_505,20230327,3900,3900,0,449,12990,-9090
INJ_505,20230328,1800,1800,0,1,5996,-4196
INJ_505,20230329,2400,2400,0,0,7992,-5592
INJ_505,20230330,5100,5100,0,903,16983,-11883
INJ_505,20230331,2400,2400,0,597,7991,-5591
INJ_505,20230401,6000,4500,0,748,14988,-10488
INJ_505,20230403,1500,1500,0,0,4994,-3494
INJ_505,20230404,7500,7500,0,751,24981,-17481
INJ_505,20230405,92850,8550,0,0,17985,-9435
INJ_505,20230406,2400,2400,0,0,7997,-5597
INJ_505,20230407,1200,1200,0,0,3996,-2796
INJ_505,20230408,3300,3300,0,0,10991,-7691
INJ_505,20230410,1500,1500,0,-1,4996,-3496
INJ_505,20230411,2400,2400,0,0,7991,-5591
INJ_505,20230412,3000,3000,0,0,9990,-6990
INJ_505,20230414,2400,2400,0,600,7994,-5594
INJ_505,20230415,1500,1500,0,0,4995,-3495
INJ_505,20230417,8100,8100,0,749,26978,-18878
INJ_505,20230418,4500,4500,0,-1,14990,-10490
INJ_505,20230420,6900,6000,0,751,19984,-13984
INJ_505,20230421,8700,7500,0,0,24973,-17473
INJ_505,20230424,900,900,0,0,2996,-2096
INJ_505,20230425,5700,5700,0,-1,18984,-13284
INJ_505,20230426,4200,4200,0,1,13986,-9786
INJ_505,20230427,1500,1500,0,0,4995,-3495
INJ_505,20230428,2400,2400,0,599,7993,-5593
INJ_505,20230429,9000,9000,0,1,29976,-20976
INJ_505,20230501,4200,4200,0,0,13990,-9790
INJ_505,20230502,7800,7800,0,-1,25979,-18179
INJ_505,20230503,1800,1800,0,0,5993,-4193
INJ_505,20230504,1500,1500,0,900,4995,-3495
INJ_505,20230505,5400,5400,3,450,17986,-12586
INJ_505,20230506,2700,2700,0,0,8996,-6296
INJ_505,20230508,2400,2400,0,750,7994,-5594
INJ_505,20230509,3600,3600,0,0,11990,-8390
INJ_505,20230510,2400,2400,0,0,7994,-5594
INJ_505,20230512,2400,2400,1,46,7991,-5591
INJ_505,20230513,1200,1200,0,0,3994,-2794
INJ_505,20230515,5700,5700,0,-1,18983,-13283
INJ_505,20230517,1800,1800,0,601,5996,-4196
INJ_505,20230519,9900,9900,0,0,32986,-23086
INJ_505,20230520,1200,1200,0,450,3996,-2796
INJ_505,20230524,7200,7200,0,0,23987,-16787
INJ_505,20230525,3600,3600,0,598,11994,-8394
INJ_505,20230526,5700,5700,0,0,18989,-13289
INJ_505,20230527,3600,3600,0,0,11990,-8390
INJ_505,20230529,5100,3300,1,648,10993,-7693
INJ_505,20230530,1500,1500,1,204,4995,-3495
INJ_505,20230531,4500,4500,0,-1,14995,-10495
INJ_505,20230602,3300,3300,0,1,10993,-7693
INJ_505,20230603,3900,3900,0,0,12989,-9089
INJ_505,20230605,1500,1500,0,0,4998,-3498
INJ_505,20230608,2400,2400,0,451,7992,-5592
INJ_505,20230609,4200,4200,3,156,13987,-9787
INJ_505,20230612,3000,3000,1,502,9991,-6991
INJ_505,20230614,4200,4200,0,1,13986,-9786
INJ_505,20230615,2700,2700,0,453,8992,-6292
INJ_505,20230616,5100,5100,0,451,16989,-11889
INJ_505,20230617,3000,3000,1,654,9987,-6987
INJ_505,20230619,3300,3300,0,0,10992,-7692
INJ_505,20230621,6550,6550,1,46,15989,-9439
